iata,icao,name,city,country,tz,lat,lon
RIW,KRIW,Central Wyoming Regional Airport,Riverton,US,America/Denver,43.064201,-108.459999
RKD,KRKD,Knox County Regional Airport,Rockland,US,America/New_York,44.060101,-69.099197
RKS,KRKS,Southwest Wyoming Regional Airport,Rock Springs,US,America/Denver,41.5942,-109.065001
RME,KRME,Griffiss International Airport,Rome,US,America/New_York,43.23379898,-75.40699768
RMG,KRMG,Richard B Russell Airport,Rome,US,America/New_York,34.3506011963,-85.15799713130001
RND,KRND,Randolph Air Force Base,Universal City,US,America/Chicago,29.529699,-98.2789
RNH,KRNH,New Richmond Regional Airport,New Richmond,US,America/Chicago,45.1483,-92.538101
RNO,KRNO,Reno Tahoe International Airport,Reno,US,America/Los_Angeles,39.4991,-119.767998
ROA,KROA,Roanoke–Blacksburg Regional Airport,Roanoke,US,America/New_York,37.3255,-79.975403
ROC,KROC,Frederick Douglass Greater Rochester International Airport,Rochester,US,America/New_York,43.1189,-77.672401
ROW,KROW,Roswell Air Center Airport,Roswell,US,America/Denver,33.301601,-104.530998
RSL,KRSL,Russell Municipal Airport,Russell,US,America/Chicago,38.872100830078,-98.811798095703
RST,KRST,Rochester International Airport,Rochester,US,America/Chicago,43.908298,-92.5
RSW,KRSW,Southwest Florida International Airport,Fort Myers,US,America/New_York,26.534685,-81.752816
RUT,KRUT,Rutland - Southern Vermont Regional Airport,Rutland,US,America/New_York,43.5294,-72.9496
RVS,KRVS,Tulsa Riverside Airport,Tulsa,US,America/Chicago,36.0396,-95.984596
RWF,KRWF,Redwood Falls Municipal Airport,Redwood Falls,US,America/Chicago,44.547199,-95.082298
RWI,KRWI,Rocky Mount Wilson Regional Airport,Rocky Mount,US,America/New_York,35.8563,-77.891899
RWL,KRWL,Rawlins Municipal Airport/Harvey Field,Rawlins,US,America/Denver,41.80559921,-107.1999969
SAC,KSAC,Sacramento Executive Airport,Sacramento,US,America/Los_Angeles,38.5125007629,-121.492996216
SAF,KSAF,Santa Fe Municipal Airport,Santa Fe,US,America/Denver,35.6171,-106.088997
SAN,KSAN,San Diego International Airport,San Diego,US,America/Los_Angeles,32.733601,-117.190002
SAT,KSAT,San Antonio International Airport,San Antonio,US,America/Chicago,29.533701,-98.469803
SAV,KSAV,Savannah Hilton Head International Airport,Savannah,US,America/New_York,32.126591,-81.19998
MQT,KSAW,Marquette/Sawyer International Airport,Gwinn,US,America/New_York,46.351498,-87.395884
SBA,KSBA,Santa Barbara Municipal Airport,Santa Barbara,US,America/Los_Angeles,34.426201,-119.839996
SBD,KSBD,San Bernardino International Airport,San Bernardino,US,America/Los_Angeles,34.096717,-117.236596
SBN,KSBN,South Bend International Airport,South Bend,US,America/Indiana/Indianapolis,41.708304,-86.316922
SBP,KSBP,San Luis County Regional Airport,San Luis Obispo,US,America/Los_Angeles,35.236801147499996,-120.641998291
SBY,KSBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,US,America/New_York,38.34049987792969,-75.51029968261719
